,company_name,adv topic0,adv topic1,adv topic2,adv topic3,adv topic4,adv topic5,dadv topic0,dadv topic1,dadv topic2,dadv topic3,dadv topic4,average_salary,total_sale,turn_over_rate
1560,현대아이에이치엘,0.6673484574122898,0.02997697252791961,0.01852349312307333,0.006428762837660087,0.005639721812256958,0.019839963243605527,1.0,9.681044200949684e-308,3.517916203748649e-308,1.576660906233212e-308,1.6042313713490767e-308,6032.0,4340.3,0.13
1561,삼전순약공업,0.2639891110408327,0.5062537416356908,0.0912031264120116,0.06444640521010978,0.023276735117211733,0.007624168183578071,1.0,4.16612295692718e-307,1.0494277722089504e-307,3.948673777367326e-308,3.955937291177832e-308,4265.0,944.0,0.27
1562,새솔다이아몬드공업,0.24816100512323402,0.20295251071146814,0.08946263378321412,0.36422089939048186,0.040076375406698346,0.0071345440740200865,0.12898449637669746,0.7018353743735177,0.07710263829224373,0.023238799608320843,0.019475033539383294,5289.0,1238.7,0.43
1563,아미코젠,0.3416429922157024,0.08923413960913462,0.03605226993301065,0.010304301302323297,0.00755760723773975,0.0071626496675992165,0.44921780615319035,0.054603231391470095,0.015262632008762263,0.00596608530507756,0.006015536456784653,4695.0,317.7,0.24
1564,두올,2.0703572229169457e-306,9.800963324489234e-308,5.599395406897809e-308,2.014423346798766e-308,1.753918533254343e-308,1.0,1.0,3.393262066683084e-307,8.704973091548024e-308,3.401061071884359e-308,3.386307646188191e-308,4359.0,2262.9,0.22
1565,상보,0.2519717589931331,0.25589941532067156,0.04776591610322839,0.014216291681882673,0.009249166504043246,0.005826216002174542,1.1200752183222775e-306,1.0,2.3112210375365438e-307,6.296223534790143e-308,6.485093044926341e-308,5754.0,727.7,0.17
1566,씨엠에이글로벌,1.0,8.014537756810436e-308,4.592601329334253e-308,1.713267330327082e-308,1.520575577174386e-308,1.1807457547812354e-307,0.6988235391355888,0.02933348328987478,0.009833027204615853,0.004189140287279882,0.004252690299133852,3098.0,298.7,0.42
1567,아이디룩,0.827525919467897,0.03125656113233066,0.01795071823777187,0.006851943171382765,0.006161784169721736,0.027195594715826703,0.547147841714077,0.028686768801628397,0.00945818344709136,0.004046419551461691,0.004088915105407002,5325.0,2146.4,0.25
1568,볼빅,0.2302165670464774,0.28795317082650085,0.07411272722400328,0.11925098449088423,0.02829310275423353,0.006549282309801343,1.0,8.187540465741591e-308,2.946932774277388e-308,1.3301334760461093e-308,1.3460663144606845e-308,4110.0,473.4,0.65
1569,삼익티에이치케이,0.5556426834447146,0.03142860661892545,0.019864989719142707,0.006194308771039274,0.005216061007331738,0.019269565635162803,0.8939068901581071,0.021792233453345862,0.007600581077562016,0.0033546945433220875,0.003395207429814612,5737.0,3104.8,0.11
