,company_name,adv topic0,adv topic1,adv topic2,adv topic3,adv topic4,adv topic5,adv topic6,adv topic7,adv topic8,dadv topic0,dadv topic1,dadv topic2,dadv topic3,dadv topic4,dadv topic5,dadv topic6,average_salary,total_sale,turn_over_rate
186,두양건축,0.11488171032268377,0.08184284143053727,0.009821195982104219,0.4968555525873621,0.12738361715853416,0.0057475640882787655,0.010027714299841964,0.013333456057398383,0.015344828948536967,0.7588092786327847,0.03053703048542216,0.034081179993513164,0.005777205283913566,0.00649557116328012,0.005143232692408332,0.005254832709457348,4476.0,1441.5,1.69
187,두원이에프씨,0.16276911863718604,0.03075443336265446,0.00495035483745042,0.1287862219398646,0.18004265862634541,0.003352257998851066,0.005165499276040466,0.006062427157194487,0.012142961125330741,0.25698111342290725,0.36969264467986457,0.09410955962601297,0.018669811396412078,0.025708781200360548,0.014312404691036855,0.01442365160153701,4335.0,1432.1,0.75
188,행림종합건축사사무소,0.027469633607616638,0.054238653686611016,0.033536650065235735,0.03889534312982123,0.019270318075616577,0.005515273549845902,0.013038276709629018,0.013124452013152767,0.0031648928132213803,0.7960352971699455,0.030856265753059556,0.0332872431413406,0.006086994030820761,0.006766664919090171,0.005469815698964386,0.005592788591646074,4706.0,763.3,0.24
189,한미글로벌건축사사무소,0.8059010049938675,0.010894930270183139,0.0021143124152681937,0.03510913619374731,0.03256725177170022,0.0016402116379115685,0.002127091529377489,0.002356825830612121,0.0049945924783860755,1.0,7.768022185314612e-308,7.55864491705183e-308,1.686070956446311e-308,1.8175078626390924e-308,1.5585742293021856e-308,1.592922584799048e-308,8151.0,1392.3,0.3
190,건일엠이씨,0.2916457095474476,0.03305778221118367,0.005501643189465226,0.1412741377074251,0.3367654140458968,0.0037573670691590506,0.005604622013765189,0.006574351519445006,0.020036884331559958,0.6828620351973359,0.13787071553957472,0.11236568997150062,0.017139023756583854,0.020999387689273796,0.014264907048923308,0.014498240796807534,4410.0,156.5,0.38
191,간삼건축종합건축사사무소,0.030852639588498033,0.03159037536070825,0.8384210103116002,0.037925316483550485,0.02035458831173392,0.013446642745977332,0.0144033451307439,0.009817261877912181,0.003188820189275543,0.2414330214966589,0.49278858484104016,0.08353744483206817,0.03528279190576172,0.04849513240017477,0.025488843575412756,0.024734918560739685,5605.0,1162.4,0.18
192,이웨이,0.06548390156450154,0.20734304714604915,0.010578411720347338,0.1696902800125653,0.0538137795363313,0.005377341400536325,0.010033292500706139,0.012998617770138186,0.008347557066752944,0.5892944241659167,0.03930706390234097,0.06444176236888255,0.007209514601849111,0.008382852215733018,0.006228564289798365,0.006439079055982272,3489.0,399.8,0.75
193,서해종합건설,0.5253166863210937,0.02592984687550139,0.004828573842876427,0.09102607930331183,0.09915718493833371,0.0035877742003496394,0.004897729423919707,0.005506390194250874,0.012775005258931691,0.6171015898961655,0.02491583300054429,0.026976512381024408,0.005000751916087791,0.005537752523472584,0.004503567371519491,0.00461023441639646,4843.0,90.4,0.13
194,대우산업개발,0.06232380299201397,0.10879820207048377,0.047215344177942375,0.09308788259342282,0.04586236446888278,0.01011412284241734,0.03516587132745374,0.2345904061133018,0.006847781574489134,0.8004860734743972,0.03616321498321491,0.04096396136116327,0.006739378947992891,0.00761289770746334,0.005973609784921185,0.006105108232009628,6907.0,5236.9,2.67
195,삼원에스앤디,0.09389151538778727,0.0373440530127905,0.004717918459458904,0.7229736457862965,0.09378108609200798,0.0030638491850795875,0.0047352807654333275,0.005539706955733474,0.013521576237988879,0.3023089002275147,0.13012864110870326,0.07297435189971949,0.010652845831176243,0.013649337628227651,0.008578912631245756,0.008700114939959562,4680.0,1361.7,0.77
196,타워피엠씨,5.987598898388954e-307,2.4016545183985025e-307,3.0250490843421175e-308,1.0,5.991158283011314e-307,1.966619755514617e-308,3.0442219346018944e-308,3.5574264755754486e-308,8.417672562955827e-308,0.6691652215916686,0.0356130795249333,0.043463075453460204,0.006712871993466027,0.007615965928816704,0.005917236811035284,0.006073627349090025,3605.0,1103.7,0.71
