,company_name,adv topic0,adv topic1,adv topic2,adv topic3,adv topic4,adv topic5,dadv topic0,dadv topic1,dadv topic2,dadv topic3,dadv topic4,dadv topic5,dadv topic6,dadv topic7,average_salary,total_sale,turn_over_rate
2175,한국유니온제약,0.3800910559600361,0.06020503912744814,0.015987380247527633,0.012387402820617684,0.004705306630362948,0.004170678362740605,0.8847201485409111,0.022670540743162822,0.013082613501466514,0.007756613512832802,0.006136077716635437,0.006629062242737611,0.005670606987578403,0.005765863228405126,4065.0,512.6,0.3
2176,조아제약,0.34410157644913236,0.20279548877845938,0.025271432714974527,0.020849679162804963,0.006841922069361556,0.0057179223771018865,0.7730277109605121,0.01977158181755824,0.011315802468431686,0.006552747661951285,0.005224270855266622,0.005619489691774191,0.00480854385272844,0.004869436690196453,5752.0,565.3,0.15
2177,오리엔트바이오,2.128907789649104e-307,2.7411422147281618e-307,2.632247478787495e-307,1.0,6.81932115451232e-308,3.537001538629318e-308,0.6654453400288407,0.018588504872857667,0.00989773335994864,0.006248847731144692,0.004452597803812128,0.004946285188761813,0.00397018415309023,0.004037175772518805,2908.0,251.8,0.36
2178,국제약품,0.04563171699051269,0.05791015071912579,0.780445805429361,0.041760052365622885,0.025651024208304788,0.009461983974559107,0.9307786424294342,0.018077179552190313,0.009972529207284149,0.006315989836653141,0.004609995751814189,0.005100295465464355,0.0041680807494856725,0.00425451763905767,6993.0,1157.4,0.42
2179,서울특별시서울의료원,0.8566723493340881,0.08629900681183056,0.024925054323859955,0.01879257055249934,0.007318500747352844,0.005992518230369362,0.7796254252199568,0.02769587260061618,0.01428933990340905,0.008457077862079717,0.006167138892807102,0.006783898457262554,0.005441328312425664,0.0054877108843747625,5444.0,1302.6,0.25
2180,메타바이오메드,0.17435892212014198,0.38281820148948315,0.1038629591140478,0.14581433607332825,0.02441967978029358,0.015489512907025825,0.5257726314670806,0.1594920344427555,0.05207897554113558,0.04884451253692588,0.019053062862378466,0.02441008407778443,0.014304486959945193,0.01449555449074694,5158.0,533.3,0.19
2181,전남대학교병원,1.0,2.146941479073377e-307,5.294370583044847e-308,4.307633397581548e-308,1.5349647900811e-308,1.198566653588883e-308,0.7967689371212793,0.0193668664906011,0.010868718419922301,0.006397335500423555,0.004982723282531928,0.005391630265092147,0.004554648360883425,0.0046077557404984575,7050.0,8223.6,0.71
2182,한화제약,3.2424173124545874e-307,1.0,1.250671715614478e-307,1.1243183381349448e-307,2.8721752648379005e-308,1.956758274509115e-308,0.7777454132057716,0.016282800817116562,0.009500653571410927,0.005582670819983458,0.004487779890927559,0.0048258517525762695,0.004173033629694684,0.004241779374767085,5743.0,665.3,0.21
2183,차바이오텍,0.07741103854019858,0.08837301182152964,0.29569466960847324,0.060736045679298134,0.17388518578214632,0.024895988105742794,0.22889076141310713,0.5340105936474284,0.04803725574800001,0.02026718957647273,0.013455988798388049,0.01606073973353569,0.009956360259925313,0.009712716292960919,3624.0,352.9,0.48
2184,이수앱지스,0.45178378811074155,0.2530887658214417,0.03141735834463369,0.024902258446358537,0.008586156410209276,0.006436729638419826,0.8385509626996581,0.025987900083909405,0.01496605280532205,0.00853183732555507,0.006902951091645347,0.007388462445854944,0.006371033786121271,0.006440881912401762,5172.0,280.2,0.19
