,company_name,adv topic0,adv topic1,adv topic2,adv topic3,adv topic4,adv topic5,dadv topic0,dadv topic1,dadv topic2,dadv topic3,dadv topic4,dadv topic5,dadv topic6,dadv topic7,dadv topic8,average_salary,total_sale,turn_over_rate
2104,유니메드제약,1.0,6.981013321678448e-308,1.3172181935663096e-308,1.524488921291751e-308,1.863732032984545e-308,2.03689009055759e-308,0.24007751679125997,0.24223991272234383,0.0504858749746748,0.021597602342398964,0.007151641644366032,0.006291387249041416,0.006375257514413822,0.008190894715917421,0.00734669058666068,4796.0,1321.2,0.29
2105,와이에스생명과학,1.0,8.00654552183023e-308,1.4741619214445053e-308,1.7168723563755725e-308,2.197252748786407e-308,2.4516013278936484e-308,0.10173253594481678,0.07598574991645927,0.12713338407366787,0.2956337445722949,0.03420466678218464,0.020933818711104453,0.02167463543053467,0.062072089000775515,0.02463419960294435,3049.0,55.3,1.35
2106,한스바이오메드,0.7746009513980522,0.02088179797537295,0.003977829254264636,0.004587481150026619,0.005493994380291466,0.005980681130773518,0.4099191677919726,0.04453182905569845,0.020997942759038005,0.008320267886627786,0.003531845830054004,0.003325995137242448,0.00334183026293154,0.003761591124685459,0.0036262177827832455,3986.0,399.9,0.36
2107,케어젠,1.0,7.1383052623878065e-308,1.3411834501032535e-308,1.5550525188111075e-308,1.9087344610777e-308,2.0870307284658595e-308,0.7613019293133761,0.0753557400296003,0.03573544643128597,0.01420858105437684,0.006043535491699778,0.005694307602330768,0.005723792565304577,0.006427535055114932,0.006188215879473131,5511.0,590.9,0.5700000000000001
2108,메디톡스,0.8933355125704071,0.057428132813604385,0.006233235383786174,0.008660567694212789,0.014558421358975745,0.01978413017901373,0.09064587100322649,0.06587452879731849,0.25627564986149437,0.05245185195066429,0.025240682913663163,0.019471747277123152,0.017479757986235425,0.05841458073549531,0.12418366865489734,5163.0,1687.2,0.17
2109,네오바이오텍,0.9507405106178639,0.017587702741245402,0.0030836108071613465,0.0036855570900543376,0.004664398390473793,0.005232882133706774,0.6264747856431829,0.1924928546054433,0.05605621239500895,0.022912951577566065,0.008501719610071007,0.007691893400318177,0.007768138036774267,0.00943797505659836,0.008736609165973923,3602.0,720.6,0.32
2110,오상헬스케어,0.823681799054322,0.02465095851151172,0.004539551616159267,0.005300371884633728,0.006541925061327191,0.007178997399268883,6.2124876328943865e-307,4.7394716132193424e-307,1.0,3.068431037027034e-307,1.2803513548240404e-307,1.038058294655197e-307,9.633989378514586e-308,2.4402953223911367e-307,3.6262411343489414e-307,5725.0,1295.9,0.32
2111,경동제약,1.0,1.6168169967629092e-307,2.2883283673556455e-308,2.977173462330241e-308,4.078034870476305e-308,4.910602904710382e-308,0.5611827225318373,0.2819256317078342,0.06283387780079856,0.025130274744817063,0.00906476766500885,0.00816399767449363,0.008211482983898954,0.010193359230707631,0.009479559899172006,6306.0,1730.2,0.5700000000000001
2112,경보제약,0.9792602816699301,0.00552103548385366,0.0009149058329886639,0.001124919459296593,0.0015637636060690772,0.0018045652120837385,0.2421203199346978,0.417148087280596,0.09157736811196478,0.03711815666930418,0.011033718495824307,0.009608276542113837,0.009594890124515334,0.013144346265858347,0.011946954529550215,6522.0,1706.6,0.13
2113,에스디바이오센서,0.7657006817198427,0.12921596178527714,0.011981318770813048,0.017482784618944997,0.03071209806911475,0.04490715503600736,1.0,2.5888821269944547e-307,1.2751895866229686e-307,5.236789724814272e-308,2.249456966436735e-308,2.1285060126785224e-308,2.145037018003507e-308,2.3663840578164886e-308,2.2521960810409874e-308,10754.0,2800.0,0.25
