,company_name,adv topic0,adv topic1,adv topic2,adv topic3,adv topic4,dadv topic0,dadv topic1,dadv topic2,dadv topic3,dadv topic4,dadv topic5,average_salary,total_sale,turn_over_rate
426,한국노바티스,0.12884298069153574,0.21432312013696866,0.23833755288368413,0.07882182766434229,0.018046809216919396,0.8601145987559355,0.04049825806255697,0.0077429918349731525,0.0033322826738663245,0.003567700817228439,0.0033644723334342514,6032.0,5442.3,0.23
427,디케이메디칼솔루션,0.09795864789132604,0.156350745822455,0.4076349645817997,0.08758717862988938,0.017758643291949303,0.10830676808320905,0.7670534219113706,0.04832511935403321,0.011054151490344909,0.014793599455165401,0.010984958252924304,5614.0,650.5,0.19
428,한국알콘,1.0,4.361462116600338e-307,4.410106778643412e-308,4.616051994942122e-308,1.7163968131086453e-308,0.9242130682178734,0.05134304618111562,0.010381169835547786,0.004577111672850055,0.004852449179522522,0.0046331549130905975,6032.0,2383.6,0.14
429,대상베스트코,0.12330128939603589,0.28254251728104846,0.0496659206574287,0.10415169563985048,0.010891275704392002,0.5007280183045872,0.043316929356906494,0.008031552622630226,0.003421332271233843,0.003681598985490467,0.003462967011221654,1912.0,5715.4,1.48
430,한국로슈진단,0.7010617522431422,0.07001350466374769,0.008348990923759458,0.008593476954563656,0.0033590958612545107,0.17452523389847396,0.4122065397354296,0.03903859791076351,0.011903811469299978,0.014539463686427067,0.011774526542978494,6032.0,3413.3,0.09
431,마카스,0.6867245371818963,0.14758053072455926,0.010112791253492114,0.010872868412161014,0.0036827653527593527,0.6337281915338886,0.07927972191954359,0.013139283495797092,0.0053697793799950015,0.005875020289723953,0.005418889270078172,4207.0,185.1,0.22
432,오아,0.5328905118024121,0.15156587615749245,0.013101850584224143,0.01414963863585603,0.004983244647513694,0.709643101940513,0.07566272976795002,0.011926989403761475,0.004851977930965769,0.0053242875966627405,0.004917657950655275,4816.0,891.9,0.32
433,한솔로지스틱스,0.9410641027783653,0.019897868857692513,0.0023559719291605346,0.0023898306300858116,0.0009343844950368709,1.0,3.0955377615847352e-307,5.341702354321628e-308,2.218170132559836e-308,2.4110663527792643e-308,2.239332316824525e-308,2745.0,7.8,0.2
434,아트라스콥코코리아,0.7092912530834856,0.1072746380999415,0.010652608579384378,0.011239915461878002,0.004084492562173449,0.3671314416309277,0.14532910277965205,0.014865372005685815,0.005711795776731808,0.006424784570431931,0.005810555421125726,5911.0,1651.9,0.18
435,행복나래,0.12400929291946715,0.3492500403018596,0.06264421222019882,0.05423065150033039,0.01054249393365648,0.5612153315626208,0.3181592193026002,0.03362419489352642,0.01194031621702376,0.0138012102328505,0.012028143494957682,5378.0,9256.8,0.13
436,휠라홀딩스,0.3849840124989884,0.14128335086597374,0.011011529616121004,0.011600026031859719,0.004172520006645439,0.4147228500278741,0.026966963706261914,0.005237171371260391,0.002269211133934393,0.002422450085572709,0.0022891159531455182,5386.0,2994.0,0.25
437,인터파크인터내셔널,0.725116093370926,0.10162732380898444,0.010039294712665799,0.010576312665466901,0.003832993642405233,1.0,1.410031424952268e-307,2.919796099465618e-308,1.3017377880299023e-308,1.3730743539071854e-308,1.315558076610431e-308,3267.0,255.3,0.5700000000000001
438,STX,0.539269379086916,0.13663754033707737,0.011875393736164978,0.012832459904998424,0.004527455595582839,0.7470908377084039,0.02549927552011767,0.005304880717181599,0.002370456508048737,0.002497792622581784,0.0023951244128517166,7133.0,6478.0,0.27
439,디엔컴퍼니,0.5905282893479222,0.1724095097274626,0.014774366539820859,0.015974954253547974,0.005611700158474189,0.6492843806576585,0.040580541433181364,0.008342161067042117,0.00370650986078476,0.00391572360110182,0.0037468895495766726,4081.0,386.2,0.34
440,마녀공장,1.0,5.371508218874077e-307,5.113528187875875e-308,5.38571918511002e-308,1.938213163057269e-308,0.3940297235064649,0.1509863351526025,0.015211600107735083,0.005806622391195262,0.00654378191158315,0.0059014188110683196,4731.0,626.2,0.17
441,한국금거래소쓰리엠,0.9163527620279508,0.04309102826501896,0.005031585761300519,0.005106884288773252,0.0019882511435960846,0.20477782869629685,0.6498579331810365,0.04673829694484757,0.013932894463117056,0.01713067790603499,0.013810016903616124,4047.0,2700.0,0.45
442,더샘인터내셔날,0.7590306120341203,0.037634781713148525,0.004842829014663982,0.004927460944921865,0.0020316398084682394,0.6154590960036792,0.2393019696700844,0.029862102465918524,0.011127612698565948,0.01262398345519038,0.011196651983232418,4943.0,509.1,0.12
443,오토앤,1.0,4.078213240446063e-307,4.283920854967972e-308,4.4160220905152445e-308,1.660676350275926e-308,0.6906909353785007,0.09253388924370322,0.012432886206551825,0.004838161154028162,0.005404767226883403,0.004886347218460766,4119.0,501.2,0.3
444,밀레에델바이스홀딩스,0.4772218816610827,0.11677644844177902,0.009744344773049416,0.01028924193098683,0.003608597684022148,0.6858187705086203,0.08452809710317585,0.011474505239655746,0.004556850115233138,0.005054711987791014,0.00463838333166399,4019.0,50.6,0.21
445,동성모터스,0.5749381155176866,0.039882818355903855,0.0048613364137707425,0.004968012425401662,0.001928950736402842,0.5998119405722895,0.030840773310940234,0.006300818286869462,0.0027925464494596383,0.0029524568781053853,0.0028180633960778636,4732.0,6605.0,0.22
446,오픈갤러리,0.5402151548309201,0.04680327192099766,0.005891136234651276,0.005993841749912373,0.002354548904025175,1.0,2.139125366343892e-307,4.1886100523964496e-308,1.8225363799977237e-308,1.94288578667378e-308,1.840258278135448e-308,3167.0,41.6,0.8200000000000001
447,인터지스,0.2789989553347764,0.22342719816901338,0.01394012907661003,0.014263583275009099,0.004545686953540575,1.0,2.0321891216959617e-307,4.1131474319976123e-308,1.814901141757141e-308,1.9233375759683003e-308,1.8348188688323725e-308,6107.0,5432.0,0.12
448,동신툴피아,0.5938958861287221,0.2567007934099458,0.017403070226065895,0.018343707815246205,0.006201982991790886,0.1681985048650412,0.4111535514382184,0.037994258509894116,0.011183472067464683,0.013819195908820766,0.011127014179557672,4325.0,1779.6,0.23
449,에어서울,1.0,3.0693628313342665e-307,3.5872752860110925e-308,3.7165987805679497e-308,1.442229078461449e-308,0.906440131683166,0.05808764409308849,0.006520016261040836,0.0023360445539954452,0.002687966552164567,0.0023438727437977654,4561.0,650.4,0.61
450,한국허벌라이프,0.1531515302389501,0.28821291604379273,0.013749276934412816,0.014368307583260825,0.0042884522156766925,0.5637029502066719,0.0828920005611283,0.012821291808894518,0.005165708698577673,0.00568893756676727,0.005223977717361856,5932.0,1565.6,0.17
451,농협물류,1.0,4.214003268625208e-307,4.4339763750051966e-308,4.555703114758535e-308,1.70921176319723e-308,1.0,2.0621473256794365e-307,4.066374054196323e-308,1.772635016407295e-308,1.88722705737121e-308,1.7882262866068915e-308,5538.0,4630.2,0.24
452,사운드캣,0.47119042270231704,0.0601664477595995,0.0066914113740411335,0.006983702513550012,0.0027472578185993423,0.507285639546155,0.030678136465095315,0.006250653201641743,0.002767566281589303,0.002927842198767122,0.002793867167840166,3241.0,74.4,0.3
453,크록스코리아,0.7284513193309206,0.07224284316562633,0.00777500482314188,0.007970072101755973,0.002983944020484159,1.0,2.0305654353436846e-307,4.106185957857527e-308,1.8114265686428707e-308,1.9197414215081794e-308,1.8304337526916974e-308,5704.0,1365.2,0.16
454,대원씨티에스,0.8378698968709575,0.06691442230892704,0.007212178413575264,0.00756681497610651,0.0028823984712742826,5.757495031802904e-307,1.07362783861144e-306,1.0,1.4216401143994377e-307,2.782087851774577e-307,1.3976501141436693e-307,4999.0,7657.9,0.22
455,크리스챤디올꾸뛰르코리아,0.17231017204023952,0.67516167534452,0.04275346341988927,0.05234366078686523,0.010638784391233579,6.863979953043817e-307,1.0,3.3852554707871384e-307,7.298411172884678e-308,9.954375499011264e-308,7.300816510452456e-308,5422.0,6138.6,0.26
