,company_name,adv topic0,adv topic1,adv topic2,adv topic3,adv topic4,adv topic5,adv topic6,adv topic7,dadv topic0,dadv topic1,dadv topic2,dadv topic3,dadv topic4,dadv topic5,dadv topic6,average_salary,total_sale,turn_over_rate
1011,티머니,0.4138597035718962,0.21807933575407226,0.11737377114994266,0.07592988437495032,0.06754765455891804,0.026980480276205112,0.052461596552536925,0.027767573761478283,0.7466565812116917,0.024530425552587616,0.009783889166624477,0.003998161461147008,0.004299460573507549,0.0047913472373531775,0.003980795388639487,6032.0,2168.5,0.05
1012,동훈아이텍,0.05357539494946424,0.05654140830513509,0.028494749081433145,0.017869913289613175,0.01588013999872482,0.01087612150307801,0.011387301764422705,0.0068506140878888755,0.1627854299224721,0.074957547859043,0.07443850786072714,0.061617221530757896,0.5058936877324063,0.05393845916209277,0.05253281753373892,5332.0,187.6,0.36
1013,유니포인트,0.058015018021414,0.05110111897174013,0.025817352018489156,0.016178350332588534,0.014507136794927593,0.009474175122522584,0.01029943075782311,0.006352443788128305,0.2655019523091596,0.3678545666788844,0.05405223448542412,0.015213550843202757,0.019998931409108665,0.03495552162523229,0.015143491457996398,4135.0,815.3,0.47
1014,윤디자인그룹,0.022472193304287968,0.2579495751490065,0.1969660407052355,0.24740371734534056,0.06025713269123589,0.00670552926602225,0.03253526746561113,0.02486563684549274,0.7891121392490213,0.026698836191666596,0.011154072345808425,0.004848716692873244,0.005150664422007986,0.005623750039370292,0.0048755206334882934,3590.0,54.4,0.62
1015,아이엠씨게임즈,0.01105034566389059,0.6415104409109179,0.08003014492628079,0.02956616840955468,0.030191605749381956,0.005091337608251989,0.011380830578910496,0.015013079642333992,1.0,1.7705729179144057e-307,6.463322153896094e-308,2.5885377909986e-308,2.834010701398239e-308,3.25441807226188e-308,2.5950038032781754e-308,4502.0,95.2,0.29
1016,아이크래프트,0.050543722889642345,0.053097205719037206,0.02683026904947903,0.016849356400069616,0.014971273592628204,0.009992602548697401,0.010772827599002242,0.006598849959349661,0.30109271079664907,0.27539322333683874,0.051941924475964865,0.01165568623042792,0.014099972238352378,0.018870986324575803,0.011236205534328931,4951.0,863.6,0.47
1017,오비고,0.011543256160486398,0.23689081254902952,0.40606636227262793,0.046653373876204995,0.03310271350387624,0.0038048354369551282,0.015368243024448607,0.01939381636103984,0.8376337892557978,0.043351776820770446,0.014318314471137513,0.005146486062621645,0.005737772457354806,0.006758500723256486,0.005107692499978269,6819.0,64.9,0.17
1018,에스에스알,0.11059164710559219,0.11838498191590674,0.05734437762839367,0.03487395950340751,0.03158292419741603,0.03323230820267827,0.021223282796434307,0.014280711297262409,0.11349974766327642,0.051043635073395086,0.04687524313470997,0.04473569679894039,0.6028581259932374,0.03701775505838774,0.04117610066257846,3950.0,2.3,0.28
1019,티아이스퀘어,0.030004367714855863,0.21341263167789737,0.1794282681476017,0.11677737471893335,0.16314299208383687,0.005848715316574696,0.022874691077493854,0.03009426806794282,0.7741065455235765,0.03137452107331005,0.01251628557025642,0.005188206082142141,0.005578428107712731,0.006202154323918916,0.005197631295816716,4991.0,116.9,0.45
1020,베스파,1.0,1.8117346040059224e-307,9.823434999548748e-308,6.356265280998974e-308,5.484362687448538e-308,2.2414867449356e-308,4.584730262718818e-308,2.327991276303e-308,0.7271475185849882,0.035552946126206825,0.012231324767356729,0.004425469532710995,0.004908735188904801,0.00572831364872908,0.004385789111196807,8880.0,419.4,3.27
