,company_name,adv topic0,adv topic1,adv topic2,adv topic3,adv topic4,dadv topic0,dadv topic1,dadv topic2,dadv topic3,dadv topic4,dadv topic5,dadv topic6,dadv topic7,average_salary,total_sale,turn_over_rate
1457,아이쓰리시스템,1.0,1.2568402159206574e-307,1.89002111815884e-308,1.6447142099931815e-308,5.168909974505604e-308,0.13500227439351312,0.07494732076977455,0.11395347421269508,0.3847442590422627,0.051531334299280085,0.040232620107862146,0.03489098823439306,0.05736708200703486,4668.0,797.2,0.14
1458,씨앤씨인터내셔널,0.20645869315288784,0.24120315831969633,0.02899256092498753,0.016507155012136135,0.06326570630077033,0.24380161434288386,0.3150852989753641,0.07949770839540636,0.03438734733156333,0.01264057998140918,0.01088349951511449,0.010968293930070346,0.015607911338027861,3675.0,836.6,0.3
1459,신양금속공업,0.7280750109348099,0.0257003843666521,0.003960150395197062,0.003484793886998044,0.010630212259863431,7.3286352101002e-307,1.0,2.580934733125616e-307,1.0868659517583295e-307,4.0117645092573385e-308,3.411601499033549e-308,3.45339027734784e-308,5.047114676443852e-308,5308.0,2146.2,0.32
1460,유엘코리아,1.0,8.247777596284093e-308,1.336309000755597e-308,1.206266656768844e-308,3.349988383004108e-308,0.7476688786808255,0.05089958641451854,0.018926912720580107,0.010682476402209436,0.004825559650923738,0.004439327178463534,0.004510904453710692,0.005363542314717272,5688.0,275.1,0.16
1461,티씨케이,0.6675191802037884,0.039758683799304334,0.006103782727633602,0.0053063129780574125,0.0172535821754268,1.0,1.7265675921854647e-307,6.917669186755314e-308,3.9834784203664965e-308,1.809934954826015e-308,1.6770459109744756e-308,1.7010966178415887e-308,1.9908190319466507e-308,7620.0,2707.7,0.19
1462,하나머티리얼즈,0.9412659499551399,0.03389970853722817,0.005638737240199258,0.005126711489862222,0.014068892777570629,0.7971891123881523,0.04028249367580854,0.016170928939603646,0.009324579480386706,0.0042242270672942376,0.003916586570017499,0.003969931741194427,0.004643832793994428,7428.0,2711.0,0.22
1463,잉크테크,0.694593373409405,0.15379562336470415,0.01901482282718943,0.014608514681881386,0.08789950259036972,0.366204433352073,0.30123313783255246,0.09740116250307371,0.04450085917912892,0.01615699699616874,0.01413632676442704,0.014160753012198808,0.019450303682907333,4364.0,529.7,0.16
1464,풀무원,0.9197625492092523,0.043369486506579555,0.006166747782380048,0.00528664139790771,0.017599104446494065,0.045890612335674805,0.023541176560576117,0.029543477164397383,0.027552922471331075,0.7729266601270004,0.033515926129358733,0.036857161273017885,0.027416241823415944,5763.0,1165.0,0.21
1465,코리아에프티,0.1783636898724219,0.41724296274030925,0.11299926766478202,0.027106474200993876,0.05944655104718368,0.4113390944894824,0.307124450903985,0.07991652886110735,0.03856085465158628,0.014463225771430138,0.012715034482731253,0.012774264144562475,0.017224058292803417,5323.0,2622.7,0.2
1466,아로마티카,0.9172242526571447,0.04813625363668757,0.007802700904806703,0.007033288966096549,0.019803503835264875,4.893624946716876e-307,3.712927223466321e-307,1.0,1.903196778940769e-307,8.306669259712677e-308,6.064527370722298e-308,6.365009297833072e-308,1.4442050613812688e-307,4996.0,262.7,0.4
1467,지아이티,0.9353909510277689,0.03724218889872795,0.006242437586768315,0.0057045384246328205,0.015419884062102047,1.0,1.3535760087502407e-307,5.7131822501945175e-308,3.313640385223382e-308,1.552375280572381e-308,1.4435787204788977e-308,1.4703875789498133e-308,1.6968748057735837e-308,4030.0,33.5,0.85
1468,뱅뱅어패럴,0.449571476298994,0.08320636400775983,0.007441294506315996,0.006128711647671693,0.022918599366846586,0.10424948152838602,0.05959497495837614,0.0946941803448264,0.30578582504462104,0.028634923663755193,0.023456975230194767,0.020894436420822227,0.034271213122824044,4102.0,718.1,0.32
1469,유텔,0.22818554298207905,0.2456611608037948,0.01641911653483876,0.01082978924613492,0.05378642757495339,1.0,2.2375975576046242e-307,8.003421249629825e-308,4.4375081343528134e-308,2.030518950845653e-308,1.85109812645274e-308,1.890452313976092e-308,2.279935624771083e-308,4823.0,494.8,0.36
1470,대원강업,0.713370551467622,0.14487001713440711,0.017801554699325033,0.013720202158949594,0.08014951141324606,0.9080179219893796,0.04188219164375813,0.018660531996667458,0.011063733932881247,0.005132006311536236,0.004817274732132625,0.004879584322171196,0.005546755071473386,8556.0,6192.4,0.22
1471,서울우유협동조합,0.6328156068156778,0.028890968236770332,0.004517153016469866,0.003985396597294197,0.011823258811668125,0.35119263017986213,0.04245342910043727,0.013964619521471204,0.0076885338256478305,0.0033705608051507034,0.0030668845801981944,0.00311287105101991,0.0038031277134177506,6082.0,1800.0,0.12
1472,디엠에스,3.809587102228525e-307,3.8747669081678356e-307,1.0,1.1510421051263137e-307,1.367704818752627e-307,0.678392333370728,0.0664799176666512,0.02132614692983915,0.011715147171624831,0.005172222617281361,0.004705926798821786,0.004782788260052429,0.005839706025304678,2972.0,626.9,0.27
1473,이씨스,0.15058686328930904,0.07923538869953638,0.00762474532582756,0.005382184477673618,0.028089917976462063,0.2590986959069301,0.2981077781526537,0.12448562279591795,0.04842343566627038,0.016281698513785633,0.01391966867864586,0.01392303053809629,0.020363236614924167,3083.0,1261.1,0.08
1474,신성델타테크,0.358907137130043,0.06520736310594263,0.008703977296953935,0.006786078651447901,0.0366510365920987,0.7685004428416573,0.0544381720657022,0.02202990677472931,0.012677337061529358,0.005839799040838452,0.005413404647557854,0.005503899810859633,0.00641876623580207,6115.0,1591.2,0.26
1475,신한다이아몬드공업,0.777025025857111,0.06196889779864759,0.007853693256783015,0.006605170277073376,0.023156720925642152,0.23470172814832582,0.11694095357895065,0.01865191675107933,0.009683149195623898,0.004170725475908952,0.0037236107459654192,0.003793063552566483,0.004845532361428485,4676.0,1496.7,0.21
1476,일진제강,0.6882466367103359,0.1566706761693891,0.019470284905398937,0.014959393922404791,0.09056484516602062,0.7194472115850967,0.048393484114004445,0.02103168994052182,0.012392980481959335,0.005691926923936335,0.005326768185041094,0.005392618435337023,0.006178439943946348,5808.0,2873.4,0.2
