,company_name,adv topic0,adv topic1,adv topic2,adv topic3,adv topic4,adv topic5,adv topic6,adv topic7,adv topic8,dadv topic0,dadv topic1,dadv topic2,dadv topic3,dadv topic4,dadv topic5,dadv topic6,dadv topic7,average_salary,total_sale,turn_over_rate
2430,플레이타임그룹,4.72659461297846e-308,4.884466522421346e-308,1.0,8.624857980749347e-309,3.2051067754488556e-308,6.26182793316995e-308,4.97043655592674e-308,3.4904390244355567e-308,1.0125585032769989e-307,0.1912029677863185,0.13630818717924664,0.038263507301901076,0.08615150591674826,0.023674719313634476,0.01145547951682018,0.014617448002790667,0.011923056886698539,1922.0,327.1,2.5
2431,그린카,0.02689608157189467,0.23134085557997114,0.39522134266236525,0.01061320966123322,0.028779737652693902,0.12573786167015136,0.03843251669435211,0.06499468612173255,0.048601511779429556,0.9388515908104353,0.02552298278282766,0.010285487540537649,0.005965159582979015,0.005262874828108895,0.004593962465000102,0.004855128077878242,0.004662813912233135,4859.0,635.1,0.4
2432,유세스파트너스,0.794810549089117,0.016956310841891833,0.06293168890394733,0.060605947797511536,0.013708236089161007,0.01954822620122533,0.011639549487409992,0.009411141169103092,0.010388350420633071,0.13962699663364928,0.08258066899476825,0.4898616856796179,0.020860013077730166,0.08969505588364975,0.03148304627003557,0.041167232573756235,0.02813881929543052,2872.0,317.9,0.99
2433,씨엔알리서치,2.1969966553893894e-308,1.430862184126086e-307,1.0,7.590610449121675e-309,2.4750144870877083e-308,1.527394778827199e-307,4.677415905520642e-308,4.2872254519360765e-308,4.3588854567808957e-308,8.82505767540762e-307,1.0,2.2238422974122635e-307,9.62387770133674e-308,8.414265095847002e-308,5.010994995903576e-308,5.937976815191303e-308,4.972073526333703e-308,5032.0,431.0,0.26
2434,한국콘텐츠진흥원,0.2044347260661604,0.05261791822924695,0.41679180031407154,0.014088056556246563,0.056854472944849244,0.07242743110779207,0.0490441180366706,0.04389278272344008,0.07394359942422317,8.66992497507398e-307,1.0,2.0204272591262306e-307,8.814266563112716e-308,7.515006606213472e-308,4.666041531430166e-308,5.468388148032347e-308,4.603387428841402e-308,6145.0,4798.6,0.14
2435,현대씨앤알,1.0,2.137568068081725e-308,8.620511203712482e-308,1.8482939029435387e-308,2.3432176794792063e-308,2.668516080023212e-308,1.667843836501442e-308,1.2626660815091604e-308,1.3885232332301443e-308,0.1721618856558062,0.1507600272840486,0.31553839990782356,0.027981465525305577,0.06516312555166223,0.022664589901797184,0.02918600249584386,0.021700224267762455,3836.0,1737.8,0.31
2436,신한서브,0.017861743787523043,0.02593903724435298,0.27347788670851797,0.003923955662056448,0.014036783258636682,0.03246956694501829,0.02066987722086428,0.022123300153636945,0.09654199096090017,0.9232760877385152,0.026275291141383623,0.009533957085973143,0.0058121560478423175,0.004842146772132845,0.004018994811767997,0.004328649067384185,0.004081982880663914,2991.0,613.8,0.5700000000000001
2437,에이블현대호텔앤리조트,0.8556228307107838,0.013591957568598713,0.058522150113575686,0.009960554500843592,0.015972032732206806,0.017304346407337298,0.011018495100348224,0.008415423128320509,0.00959220973798531,0.5641528111774984,0.05074718463578792,0.015626241140525923,0.009715833580666007,0.007623241079856541,0.005931321805661145,0.0065249325318896614,0.00599432276271183,3864.0,557.5,0.39
2438,아모제푸드,5.301553469402456e-308,1.2288656350932914e-308,4.397041292829983e-308,1.0,9.18565692004442e-309,1.3813132514875295e-308,8.139901239121117e-309,6.74853636667623e-309,7.21181708019293e-309,0.5567243092808458,0.12608753851707893,0.02419975881480408,0.019821961541854175,0.012642780934411475,0.008628859651546687,0.009948752034955982,0.008853433608936798,4028.0,779.0,0.62
2439,원앤원,0.04496700212277523,0.04210488089340216,0.22523840788745383,0.009760744481873786,0.3759986096982302,0.07454758809543992,0.049584099275144795,0.031024926571056363,0.03119393971179601,0.4919998614383518,0.01828988832816066,0.007179963923886484,0.004255196619638542,0.0036662893993073273,0.003131920622169347,0.003337082992748322,0.0031805937866422472,4100.0,36.0,0.26
