,company_name,adv topic0,adv topic1,adv topic2,adv topic3,adv topic4,adv topic5,adv topic6,adv topic7,adv topic8,dadv topic0,dadv topic1,dadv topic2,dadv topic3,dadv topic4,dadv topic5,average_salary,total_sale,turn_over_rate
160,두산건설,0.5757869720787587,0.22802797814391704,0.027570633692833954,0.00763958767852513,0.006500849361256414,0.0077027814898151525,0.009969804221971966,0.011319889118168305,0.025102175087780336,1.0,2.0407642418041576e-307,6.547788561515296e-308,6.876276068590413e-308,2.675160519006112e-308,2.698216307719199e-308,7005.0,1400.0,0.16
161,쌍용건설,0.13012441689355772,0.08838169444855826,0.35934779699664837,0.02801938416266966,0.01431279240595188,0.03585635886059549,0.05236504616624095,0.05032950568382423,0.0072381807769366585,0.924954662973257,0.034756636633773166,0.013780682921697453,0.014251117456478954,0.006116694327304151,0.0061402056874893555,6082.0,1400.0,0.23
162,삼호개발,0.6779550007786503,0.13417119983491618,0.0227090801524044,0.0059098943423848554,0.004969798210912534,0.006258268682393132,0.0075891000490762445,0.008761933312380172,0.027413980290303643,0.7710656722260034,0.030042671734892074,0.01179185737132871,0.0124134011286655,0.005265810681139932,0.00525500076331649,5403.0,3608.3,0.32
163,동부건설,6.285917610683045e-307,1.0,2.974703886049081e-307,5.241429075550013e-308,3.6635116309968826e-308,5.925949260239036e-308,9.408624784932129e-308,1.6012326187987349e-307,3.544334922816859e-308,0.9443507172731805,0.025029038823482203,0.01039852136617032,0.010754497242915266,0.004730617485985921,0.0047366078082657324,7852.0,1000.0,0.12
164,한양,0.6193258083907383,0.031295833755616585,0.010706598125386263,0.0031521383551457974,0.002838601992972284,0.003197312384438255,0.0036888210559853736,0.004023309866060339,0.008582575835099051,0.8094462947621829,0.03121529574337575,0.012913902215201951,0.013392458136115216,0.005870396361232838,0.005873981255013482,3033.0,8.8,0.67
165,브니엘네이처,0.25035269534132953,0.4050606832483681,0.1292699657100891,0.02377723195329268,0.016238886015061665,0.025930194589389527,0.048718884657866515,0.08683959821889513,0.01381186026570797,0.6425572262911565,0.022213012093215148,0.008353407766077462,0.008881518790300547,0.0036784875004334805,0.003659846368743178,4019.0,452.6,0.4
166,선진엔지니어링종합건축사사무소,0.3464390423378496,0.18554126349000363,0.022893115714921967,0.0062549664478182285,0.005262253890461421,0.006275806674019469,0.008435096093640043,0.009813063430240918,0.01718101420509851,0.453688631492263,0.03209396858225189,0.010685511305751356,0.011291835656307585,0.00445696369831641,0.004469065650033034,5842.0,726.1,0.15
167,수성엔지니어링,3.41496706615784e-307,1.5268600250357019e-307,2.839296827212706e-307,1.0,1.423500543049111e-307,1.2829204029687107e-307,9.524292901884767e-308,5.785649050911973e-308,1.8419272007951864e-308,0.9837132815206845,0.007403825307739582,0.0030303617831440232,0.0031216716794257877,0.0013620835397951479,0.0013687761692111023,4654.0,14.0,0.47
168,동일기술공사,0.6712457786220749,0.06464232320295338,0.016337860506998196,0.004629236986852249,0.004026789201597143,0.004724190945712691,0.00567715792097806,0.006357837022644159,0.020895135805758455,0.5907338719679521,0.026741101387674132,0.010066944908323782,0.010443794469620179,0.00435923299415638,0.004389144278404924,5603.0,837.5,0.18
169,존스랑라살,0.14009170656865613,0.2117794594669779,0.11409100844703154,0.016512644200318026,0.010723330154665025,0.01964719131401122,0.03147179155969539,0.05069558433870641,0.007732262894851349,0.623417427344714,0.17896730038586375,0.0387266166806393,0.047599909895046505,0.014888941135966925,0.014657241812703871,4924.0,485.5,0.25
170,케이지엔지니어링종합건축사사무소,0.9037611919145496,0.04759083774042952,0.013873160022710478,0.004026905797100181,0.003570001439939424,0.004076751833124508,0.004838252800417337,0.005310614447147173,0.012952284004581595,0.40123616449367794,0.017716478803188388,0.006542597392250788,0.006878347278426487,0.00283501664222262,0.0028424109529367604,5973.0,1139.8,0.22
171,지에스네오텍,0.12713801935537067,0.1250312023231507,0.03145770903451567,0.006839274670955324,0.005209835242853588,0.007368255988614716,0.01085098817579539,0.01765887983926834,0.007762973837353696,1.0,8.113039304924979e-308,3.286956443047093e-308,3.446235172998623e-308,1.485783407442311e-308,1.484843916303183e-308,6032.0,4544.2,0.24
172,존슨콘트롤즈인터내셔널코리아,0.3879805421897385,0.05303402410891534,0.010833983964066107,0.0029166713830036366,0.00251062049935708,0.0030498224481936573,0.0036732197390615,0.00418152526855718,0.018095591045957034,0.9050477857757274,0.036682326039233916,0.014042705695262175,0.01476840054922133,0.0061925914158920915,0.006193068785162542,5476.0,1553.1,0.18
