,average_salary,total_sale,turn_over_rate
810,5932,560.9,0.17
811,4431,30.1,1.82
812,4459,246.8,0.31
813,4764,35.7,0.22
814,4909,2601.4,1.85
815,5055,113.4,0.29
816,3672,208.9,0.52
817,4045,52.8,0.31
818,4037,13.8,0.15
819,5173,443.5,0.19
820,5020,348.2,0.19
821,5827,441.5,0.13
822,4675,437.5,0.21
823,2761,5.3,1.4
824,3454,140.8,0.42
825,3027,66.3,0.59
826,6032,1338.2,0.1
827,4932,163.9,0.18
828,5326,5.2,1.53
829,5598,177.6,0.17
830,4933,265.3,0.65
831,5254,168.5,0.51
832,6082,2703.0,0.06
833,6032,517.9,0.14
834,5526,272.1,0.15
835,6092,196.1,0.17
836,4544,521.8,0.97
837,3351,14.5,0.43
838,4557,138.9,0.3
839,17550,556.9,0.36
840,3833,204.4,0.36
841,3668,352.1,0.38
842,5745,1176.3,0.3
843,4270,35.1,1.08
844,4613,212.2,0.33
845,6112,543.6,0.15
846,2582,64.1,0.94
847,5976,1961.3,0.15
848,5362,45.3,0.25
849,5833,195.8,0.5
850,5480,237.4,0.27
851,5299,101.9,0.46
852,5255,272.7,0.54
853,4629,219.8,0.33
854,7785,571.0,0.1
855,3925,262.8,0.31
856,4523,204.7,0.26
857,5519,652.2,0.28
858,5974,2108.4,0.29
859,5126,296.4,0.24
860,3784,247.2,0.14
861,6082,8602.6,0.23
862,3035,36.2,0.46
863,5530,941.6,0.23
864,4863,246.0,0.38
865,4683,86.6,0.53
866,3250,169.9,0.14
867,3149,340.6,0.51
868,4156,658.6,0.41
869,6479,909.4,0.27
870,3827,148.0,0.46
871,4701,278.6,0.33
872,6436,746.8,0.15
873,4981,1137.6,0.21
874,4523,46.2,2.62
875,5047,237.1,0.55
876,2966,73.1,0.7000000000000001
877,4217,280.7,0.35
878,2578,8.1,1.71
879,4700,430.0,0.19
880,4903,151.7,0.29
881,4651,1817.5,0.27
882,5091,197.0,0.16
883,5543,260.9,0.19
884,3547,177.1,0.24
885,5541,132.0,0.11
886,5435,336.4,0.35
887,4129,113.4,0.44
888,4877,246.1,0.29
889,5440,323.6,0.3
890,4042,1018.3,0.62
891,4293,1070.1,0.26
892,4232,58.5,0.36
893,3734,106.4,0.38
894,2722,304.9,1.63
895,3769,65.2,0.14
896,4355,112.6,0.3
897,2561,194.0,1.27
898,4830,193.0,0.55
899,4186,553.0,0.11
900,4392,246.0,0.5700000000000001
901,3831,75.2,0.6
902,4429,243.4,0.36
903,4133,8.9,0.37
904,6032,4490.6,0.1
905,2523,13.5,0.72
906,5170,249.6,0.72
907,5726,1216.9,0.3
908,4841,140.9,0.2
909,5678,623.4,0.12
910,6011,202.9,0.19
911,6082,7611.1,0.09
912,4419,14.9,0.94
913,5141,264.2,0.28
914,4156,154.6,0.23
915,3892,50.8,0.58
916,1830,112.3,1.27
917,4942,176.1,0.28
918,4436,123.1,0.4
919,4692,33.2,0.2
920,5279,427.9,0.44
921,4101,111.3,0.46
922,5320,245.6,0.25
923,5752,52.9,0.6900000000000001
924,5783,91.7,0.32
925,2073,381.2,1.14
926,4820,434.5,0.5700000000000001
927,5986,318.7,0.31
928,5454,679.7,0.49
929,6032,34.3,0.63
930,5380,195.1,0.23
931,3720,100.0,0.1
932,4141,433.4,0.2
933,4995,62.3,0.33
934,4595,176.3,0.26
935,5639,557.2,0.23
936,5482,740.8,0.26
937,5187,150.1,0.51
938,5638,842.6,0.33
939,4958,949.3,0.33
940,4689,170.4,0.44
941,4767,97.7,0.39
942,6082,2553.6,0.11
943,6032,1302.5,0.12
944,4997,311.6,0.18
945,4038,140.2,0.55
946,5012,216.0,0.49
947,4778,281.7,0.24
948,3875,25.5,0.21
949,3526,75.1,0.93
950,4095,188.3,0.7000000000000001
951,5574,540.8,0.27
952,4558,19.2,0.42
953,5323,934.8,0.45
954,4918,40.2,0.27
955,4284,6.2,0.56
956,2336,105.1,0.42
957,4267,243.8,0.3
958,5913,674.7,0.13
959,1475,4.1,0.33
960,6295,162.6,0.19
961,4292,110.3,0.13
962,4425,130.1,0.35
963,1521,31.8,1.6
964,4866,768.3,0.31
965,3346,29.6,0.31
966,4359,224.5,1.15
967,4803,121.3,0.19
968,4759,133.9,0.31
969,4140,100.0,0.45
970,5420,206.1,0.22
971,4686,188.5,0.14
972,4250,74.8,0.35
973,5173,1162.1,0.28
974,1699,135.7,0.55
975,6525,317.6,0.17
976,6032,3568.9,0.12
977,4290,121.4,0.37
978,4500,74.0,0.25
979,6032,1761.3,0.12
980,5095,18.9,0.55
981,5327,319.0,0.18
982,3698,123.0,0.1
983,5952,2002.6,0.12
984,4388,307.0,0.27
985,5143,649.8,0.18
986,6032,199.7,0.31
987,4360,210.8,0.13
988,4169,193.2,0.38
989,3486,896.2,1.43
990,3957,171.8,0.51
991,2916,10.7,0.86
992,4798,67.7,0.63
993,5852,14.6,3.17
994,7396,348.2,0.09
995,4877,119.6,0.4
996,3178,105.1,0.42
997,3481,54.2,0.64
998,3930,59.3,0.28
999,5278,151.4,0.19
1000,2154,176.8,2.0
1001,4125,39.0,0.14
1002,5234,396.1,0.3
1003,3917,122.3,0.36
1004,4036,127.1,0.53
1005,3294,51.3,0.4
1006,2670,185.6,1.6
1007,3875,162.3,0.32
1008,2528,42.3,0.29
1009,4689,14.3,0.46
1010,4985,92.8,0.33
1011,6032,2168.5,0.05
1012,5332,187.6,0.36
1013,4135,815.3,0.47
1014,3590,54.4,0.62
1015,4502,95.2,0.29
1016,4951,863.6,0.47
1017,6819,64.9,0.17
1018,3950,2.3,0.28
1019,4991,116.9,0.45
1020,8880,419.4,3.27
1021,3606,181.6,0.41
